episode,mean_reward,deck_A_freq,deck_B_freq,deck_C_freq,deck_D_freq
0,38.574283198829725,0.23445398830350184,0.24057140428821175,0.25476755085122055,0.27020705655706595
1,75.66442687952744,0.20070234138887394,0.22633054434458308,0.27001507922607576,0.30295203504046714
2,80.78970574295805,0.22532673851712337,0.21541036744910735,0.24748439645356074,0.31177849758020854
3,177.06430673959767,0.29126253472005204,0.21832894673069703,0.28834828542783725,0.20206023312141366
4,108.3212352335535,0.2572868112963187,0.23700351283320925,0.2878451142657317,0.21786456160474038
5,200.8520918324647,0.21485293491353527,0.2474625564465722,0.30493695414017774,0.23274755449971482
6,232.96853853715666,0.256590783780823,0.18755592908544644,0.2336814453698618,0.32217184176386876
7,282.5514736584121,0.28474569139960315,0.2950334496026992,0.2090030533819701,0.2112178056157275
8,285.2104002801242,0.3087780911468597,0.20415297435844418,0.23704414409716318,0.2500247903975329
9,268.9103730856395,0.2058365143937298,0.22152647097444345,0.34235086211066545,0.23028615252116136
10,312.31401153925526,0.2701640396034166,0.193049754146054,0.2751948610672125,0.26159134518331684
11,461.86029723777693,0.20743435705790514,0.3038511052217463,0.2302393507305848,0.2584751869897638
12,454.61247604769216,0.21849109828113622,0.24864284248803287,0.19379217126132262,0.3390738879695084
13,395.7119273958564,0.24743455771082765,0.26980400719794384,0.25213639964707396,0.23062503544415458
14,461.4520209140901,0.17319069046747,0.3296474503988608,0.25464795195427786,0.2425139071793913
15,533.7069498097721,0.2164710051161313,0.2570905270741993,0.31276076775985007,0.21367770004981937
16,669.740162091012,0.23736639047781674,0.29543920788467354,0.2651703851540286,0.2020240164834812
17,642.2501212497091,0.2765585569959753,0.2729827694787898,0.23692971410574282,0.213528959419492
18,680.6408400958464,0.23009890611119097,0.32088495309069265,0.23567163730027862,0.21334450349783773
19,679.6330759572584,0.2480463638230916,0.17134276967618112,0.3169398747003494,0.2636709918003779
20,737.9451022377452,0.23291880216896155,0.22281009670255628,0.2580480182520562,0.286223082876426
21,731.9102425239847,0.26847069980761706,0.23276222454964113,0.2538083945932805,0.24495868104946147
22,848.3829451518245,0.24533944143640898,0.23021973338068927,0.23972172933951763,0.2847190958433842
23,724.6594439877979,0.23793558793117264,0.26500291466013504,0.25765319555346394,0.23940830185522835
24,942.208103624989,0.22379145127585423,0.2551536869286127,0.249347504030776,0.2717073577647571
25,946.8444994062734,0.2467110235019178,0.23531980724258586,0.23116339110302134,0.286805778152475
26,1014.0486291500873,0.20167301547796793,0.23552936174181804,0.2570406811648714,0.30575694161534267
27,1000.2783993830168,0.19692117270117596,0.22786355681554563,0.2779821769454544,0.29723309353782407
28,998.3047680139266,0.24045898932172102,0.2155267086585123,0.24977948102844968,0.2942348209913169
29,1073.029245860198,0.21025948862259092,0.23511590108740785,0.24639489871858727,0.30822971157141393
30,1183.2777327933277,0.2326892013088457,0.21860423799985332,0.23801907397471478,0.31068748671658614
31,1102.6497488352145,0.15878159707604678,0.2242235813828495,0.28843021108396,0.3285646104571437
32,1250.2305647700407,0.21485138710587035,0.20086443687707642,0.257760654617888,0.32652352139916513
33,1203.0344061181831,0.22237004931324122,0.2571524165758704,0.23077499645614943,0.28970253765473886
34,1187.1425482354473,0.20609846866856174,0.21546827155428172,0.2562990472381506,0.3221342125390059
35,1223.4852839088596,0.21298065540095423,0.21408284253038903,0.2757963522538765,0.29714014981478026
36,1322.3353663099806,0.19753616995718823,0.1936628940357162,0.2486971617090479,0.3601037742980476
37,1330.0661625690286,0.2024932555226013,0.20497111778324528,0.26960768752186,0.32292793917229345
38,1441.6078237286715,0.22496249171766586,0.19379010822366932,0.2570133212265582,0.3242340788321067
39,1390.935320445279,0.2053045569944619,0.18117572720706346,0.29036568079328284,0.3231540350051918
40,1464.2965912793743,0.15948813581981433,0.2210483727739443,0.2881068048354064,0.331356686570835
41,1586.9159403553977,0.21573978155496182,0.18030826166447378,0.2542044407578138,0.34974751602275056
42,1501.797593725435,0.18950826938096962,0.2032304872910762,0.27592805307331947,0.33133319025463476
43,1554.9894467466227,0.19870926669728584,0.17690033110671144,0.267778603259196,0.3566117989368068
44,1550.676201209866,0.18638938669583696,0.17959217445274464,0.2819402818752961,0.3520781569761224
45,1722.03388552861,0.18741174602071997,0.16666358713496976,0.2783917009047226,0.3675329659395876
